id;name;description;price;image;image_content_type
1;index intuitive;aggregate;56245;../fake-data/blob/hipster.png;image/png
2;Organized feed Future-proofed;Soft Strategist;30397;../fake-data/blob/hipster.png;image/png
3;Faroe Islands bandwidth-monitored;Usability Computers;47177;../fake-data/blob/hipster.png;image/png
4;Planner Hawaii;Springs Colorado Computer;61467;../fake-data/blob/hipster.png;image/png
5;sticky Taka multimedia;hard drive Buckinghamshire;18646;../fake-data/blob/hipster.png;image/png
6;Chicken Refined;Analyst;26748;../fake-data/blob/hipster.png;image/png
7;Crossing;generating;24488;../fake-data/blob/hipster.png;image/png
8;District;visualize Dynamic Cliff;33787;../fake-data/blob/hipster.png;image/png
9;primary Small withdrawal;capacitor Vermont;41567;../fake-data/blob/hipster.png;image/png
10;Avon;Minnesota;98830;../fake-data/blob/hipster.png;image/png
