id;name;description;price;image;image_content_type
1;Avon hacking;deposit architectures Facilitator;65786;../fake-data/blob/hipster.png;image/png
2;Awesome Concrete Shirt;Burundi Franc generate Chips;95018;../fake-data/blob/hipster.png;image/png
3;Ergonomic Soft Fish synergize;quantify parallelism initiative;12152;../fake-data/blob/hipster.png;image/png
4;Borders Alaska syndicate;Saint Kitts and Nevis Mayotte encoding;86039;../fake-data/blob/hipster.png;image/png
5;Future web services RSS;Computer Savings Account;47300;../fake-data/blob/hipster.png;image/png
6;Intelligent Trinidad and Tobago Dollar;digital Creative;16728;../fake-data/blob/hipster.png;image/png
7;HDD maximize indexing;Fresh;15188;../fake-data/blob/hipster.png;image/png
8;Direct redefine;transmit TCP;69650;../fake-data/blob/hipster.png;image/png
9;input Crescent Bacon;Computer Manager;26817;../fake-data/blob/hipster.png;image/png
10;Marketing;Savings Account;42697;../fake-data/blob/hipster.png;image/png
